timestamp,underlying,expiry,option_type,strike,bid,ask,delta,gamma,iv,vanna,charm,open_interest,volume
2022-01-01,SPY,2022-02-05,call,610.0,1.8801302624277538,1.9568702731390906,0.6970138554509996,0.007587449663492723,0.2364528461372535,-0.6537453424425721,0.5579950828011032,2959.0,3872.0
2022-01-01,SPY,2022-02-05,call,620.0,1.292130262427754,1.3448702731390907,0.6155273908223774,0.008301120346259015,0.2364528461372535,-0.3563723040344943,0.1680246975348978,16640.0,2200.0
2022-01-01,SPY,2022-02-05,call,625.0,0.9981302624277538,1.0388702731390906,0.5730153699037901,0.008521548586740176,0.2364528461372535,-0.18386109709993564,-0.051875669845048926,11278.0,4294.0
2022-01-01,SPY,2022-02-05,call,635.0,1.1578697375722462,1.2051297268609091,0.48694404873560426,0.008662477354076025,0.2364528461372535,0.17866717129341306,-0.5034554979754836,2879.0,3489.0
2022-01-01,SPY,2022-02-05,call,640.0,1.4518697375722462,1.5111297268609092,0.44438939908725367,0.008582776743871054,0.2364528461372535,0.35599258771986275,-0.7194804395346581,5675.0,479.0
2022-01-01,SPY,2022-02-05,call,650.0,2.0398697375722463,2.1231297268609097,0.3625704720729326,0.008147624614982021,0.2364528461372535,0.6737883325357041,-1.097076356914993,13540.0,4878.0
2022-01-01,SPY,2022-02-05,put,610.0,1.8801302624277538,1.9568702731390906,-0.3029861445490004,0.007587449663492723,0.2364528461372535,-0.6537453424425721,0.5579950828011032,18605.0,3808.0
2022-01-01,SPY,2022-02-05,put,620.0,1.292130262427754,1.3448702731390907,-0.3844726091776226,0.008301120346259015,0.2364528461372535,-0.3563723040344943,0.1680246975348978,18162.0,3932.0
2022-01-01,SPY,2022-02-05,put,625.0,0.9981302624277538,1.0388702731390906,-0.4269846300962099,0.008521548586740176,0.2364528461372535,-0.18386109709993564,-0.051875669845048926,13220.0,649.0
2022-01-01,SPY,2022-02-05,put,635.0,1.1578697375722462,1.2051297268609091,-0.5130559512643957,0.008662477354076025,0.2364528461372535,0.17866717129341306,-0.5034554979754836,21121.0,2257.0
2022-01-01,SPY,2022-02-05,put,640.0,1.4518697375722462,1.5111297268609092,-0.5556106009127464,0.008582776743871054,0.2364528461372535,0.35599258771986275,-0.7194804395346581,12908.0,1860.0
2022-01-01,SPY,2022-02-05,put,650.0,2.0398697375722463,2.1231297268609097,-0.6374295279270674,0.008147624614982021,0.2364528461372535,0.6737883325357041,-1.097076356914993,5217.0,4634.0
2022-01-02,SPY,2022-02-06,call,610.0,1.8800916891415063,1.9568301254329965,0.6969057315423786,0.007583605210063943,0.2366107298416916,-0.6528842353158547,0.5575968145450395,19713.0,3222.0
2022-01-02,SPY,2022-02-06,call,620.0,1.2920916891415062,1.3448301254329964,0.6154657257856451,0.008295983067859591,0.2366107298416916,-0.35581180590589107,0.16779478077387494,10538.0,4115.0
2022-01-02,SPY,2022-02-06,call,625.0,0.9980916891415063,1.0388301254329964,0.5729807802410724,0.008516009470298062,0.2366107298416916,-0.18351415434778234,-0.051970988032760006,13999.0,2222.0
2022-01-02,SPY,2022-02-06,call,635.0,1.1579083108584938,1.2051698745670036,0.486966566204494,0.008656722147498052,0.2366107298416916,0.17853550354037742,-0.5032517106225192,11701.0,1143.0
2022-01-02,SPY,2022-02-06,call,640.0,1.4519083108584938,1.5111698745670037,0.44443994728917113,0.00857721205452848,0.2366107298416916,0.3556294025829696,-0.7191432301133827,3029.0,2777.0
2022-01-02,SPY,2022-02-06,call,650.0,2.0399083108584937,2.123169874567004,0.36267145083657726,0.008142966949387785,0.2366107298416916,0.6730531598589047,-1.0965714960823971,22286.0,328.0
2022-01-02,SPY,2022-02-06,put,610.0,1.8800916891415063,1.9568301254329965,-0.30309426845762144,0.007583605210063943,0.2366107298416916,-0.6528842353158547,0.5575968145450395,21570.0,4139.0
2022-01-02,SPY,2022-02-06,put,620.0,1.2920916891415062,1.3448301254329964,-0.38453427421435493,0.008295983067859591,0.2366107298416916,-0.35581180590589107,0.16779478077387494,7497.0,3162.0
2022-01-02,SPY,2022-02-06,put,625.0,0.9980916891415063,1.0388301254329964,-0.42701921975892765,0.008516009470298062,0.2366107298416916,-0.18351415434778234,-0.051970988032760006,4798.0,3792.0
2022-01-02,SPY,2022-02-06,put,635.0,1.1579083108584938,1.2051698745670036,-0.513033433795506,0.008656722147498052,0.2366107298416916,0.17853550354037742,-0.5032517106225192,17752.0,1779.0
2022-01-02,SPY,2022-02-06,put,640.0,1.4519083108584938,1.5111698745670037,-0.5555600527108289,0.00857721205452848,0.2366107298416916,0.3556294025829696,-0.7191432301133827,2443.0,4853.0
2022-01-02,SPY,2022-02-06,put,650.0,2.0399083108584937,2.123169874567004,-0.6373285491634227,0.008142966949387785,0.2366107298416916,0.6730531598589047,-1.0965714960823971,11585.0,4466.0
2022-01-03,SPY,2022-02-07,call,610.0,1.8941147295060052,1.9714255347919647,0.6986099190416224,0.007556641536478456,0.2367651215296527,-0.657928021009332,0.5651369871894751,17205.0,3894.0
